iter	Logloss
0	0.6590059241
1	0.6238590163
2	0.5938831251
3	0.5669154991
4	0.543317678
5	0.5219818946
6	0.5104763005
7	0.4915610592
8	0.4761534191
9	0.4617997773
10	0.4507946092
11	0.4422890799
12	0.429245566
13	0.4172848552
14	0.4029730453
15	0.3958387829
16	0.3834870786
17	0.3740725874
18	0.3643309405
19	0.3556242962
20	0.3470275516
21	0.3424469565
22	0.3352260979
23	0.3273541457
24	0.3224809608
25	0.3146424585
26	0.3095110939
27	0.3031208531
28	0.2963786742
29	0.2950124157
30	0.2901824899
31	0.2844499082
32	0.2789753505
33	0.2730713669
34	0.2680924085
35	0.2628184208
36	0.2580558881
37	0.253616852
38	0.2507151909
39	0.2472522502
40	0.2436036609
41	0.2392232207
42	0.2352663935
43	0.2306636888
44	0.2268166574
45	0.2232702606
46	0.2200688991
47	0.217412741
48	0.2142488389
49	0.2116681313
50	0.2083610483
51	0.2058733726
52	0.2031749673
53	0.200315203
54	0.1965226154
55	0.1941328373
56	0.1924523334
57	0.1898697834
58	0.1874804335
59	0.1855587602
60	0.1833408641
61	0.1814273134
62	0.1790374055
63	0.1774563692
64	0.1761242614
65	0.1744035215
66	0.1722966278
67	0.1706335885
68	0.1678149165
69	0.1663428456
70	0.1647450583
71	0.1626664895
72	0.1601712493
73	0.1578868295
74	0.1559765225
75	0.1538514118
76	0.1519365635
77	0.1506703695
78	0.1480733132
79	0.1466726446
80	0.1456751142
81	0.1440978667
82	0.1424128474
83	0.1407679603
84	0.1396493977
85	0.1379157605
86	0.1365846258
87	0.1346828175
88	0.1330921147
89	0.1320523891
