iter	Passed	Remaining
0	27	2474
1	47	2073
2	65	1913
3	86	1864
4	107	1823
5	127	1783
6	130	1542
7	151	1549
8	171	1543
9	192	1540
10	198	1422
11	200	1304
12	221	1312
13	242	1314
14	262	1312
15	270	1250
16	291	1251
17	312	1250
18	333	1247
19	354	1242
20	375	1235
21	388	1199
22	439	1279
23	492	1355
24	524	1362
25	583	1435
26	635	1482
27	662	1467
28	684	1440
29	687	1375
30	719	1368
31	745	1351
32	780	1348
33	826	1362
34	855	1344
35	880	1320
36	902	1293
37	924	1264
38	947	1238
39	967	1209
40	990	1183
41	1013	1157
42	1035	1131
43	1055	1103
44	1078	1078
45	1098	1051
46	1119	1024
47	1140	998
48	1161	972
49	1180	944
50	1200	917
51	1220	891
52	1242	867
53	1266	844
54	1290	821
55	1313	797
56	1338	774
57	1366	754
58	1394	732
59	1417	708
60	1439	684
61	1461	659
62	1483	635
63	1505	611
64	1527	587
65	1548	563
66	1570	538
67	1589	514
68	1608	489
69	1628	465
70	1647	440
71	1667	416
72	1686	392
73	1704	368
74	1725	345
75	1746	321
76	1768	298
77	1788	275
78	1808	251
79	1827	228
80	1845	205
81	1866	182
82	1885	159
83	1906	136
84	1928	113
85	1948	90
86	1970	67
87	1988	45
88	2008	22
89	2028	0
