iter	Logloss
0	0.4696316362
1	0.3552261664
2	0.3214455948
3	0.2954924447
4	0.2830418178
5	0.2705930334
6	0.262370129
7	0.2586750887
8	0.2499297006
9	0.2378554052
10	0.2272560742
11	0.2189681384
12	0.2142838069
13	0.2047957206
14	0.1969284265
15	0.1868250581
16	0.1785208254
17	0.1697623584
18	0.1536060385
19	0.1443693719
20	0.1375156065
21	0.1310016995
22	0.1269252544
23	0.1204621451
24	0.1156652671
25	0.110267198
26	0.1041512652
27	0.09691636741
28	0.08979775954
29	0.0857764523
30	0.0816074034
31	0.07607883012
32	0.07123374939
33	0.0706754931
34	0.06662268866
35	0.06352372072
36	0.06013126763
37	0.05614614162
38	0.05293056267
39	0.05167477796
40	0.04979061594
41	0.04803830101
42	0.04544392411
43	0.04323102341
44	0.04252590776
45	0.04144235209
46	0.04021986812
47	0.03861169426
48	0.03729136785
49	0.03563784255
50	0.03554924167
51	0.03523291374
52	0.0341391012
53	0.0325873855
54	0.03168170631
55	0.03086821238
56	0.03040615718
57	0.02941067689
58	0.02861549092
59	0.02753988902
60	0.0267462925
61	0.02545396649
62	0.02510064962
63	0.02469193692
64	0.02408007537
65	0.02372047852
66	0.02328052651
67	0.02313310759
68	0.02209668581
69	0.02145800785
70	0.02079067749
71	0.02048483349
72	0.01957337873
73	0.01925290685
74	0.01878650983
75	0.01833234028
76	0.01796160263
77	0.01755872876
78	0.0172188428
79	0.01680765347
80	0.01631464277
81	0.01588932511
82	0.01531410217
83	0.01476200584
84	0.01445503624
85	0.01419642669
86	0.01379086696
87	0.0133901875
88	0.01303463485
89	0.01278825277
90	0.01256543033
91	0.01214865195
92	0.01192832723
93	0.01176028836
94	0.01165631677
95	0.01125207564
96	0.01109920148
97	0.01081576477
98	0.01071623069
99	0.01049650932
