iter	Passed	Remaining
0	406	40221
1	415	20356
2	424	13710
3	433	10393
4	441	8390
5	450	7057
6	456	6061
7	460	5291
8	464	4695
9	468	4214
10	472	3820
11	476	3491
12	480	3213
13	484	2973
14	488	2766
15	492	2583
16	495	2421
17	499	2276
18	503	2146
19	507	2031
20	511	1925
21	515	1828
22	519	1739
23	523	1656
24	527	1581
25	530	1510
26	534	1445
27	538	1384
28	542	1328
29	546	1274
30	550	1224
31	553	1177
32	557	1132
33	561	1090
34	565	1049
35	570	1013
36	574	978
37	579	945
38	584	913
39	595	893
40	600	863
41	604	834
42	608	806
43	612	778
44	615	752
45	619	727
46	623	702
47	627	679
48	636	661
49	642	642
50	648	622
51	651	601
52	656	581
53	662	563
54	669	547
55	675	530
56	680	513
57	687	497
58	698	485
59	703	469
60	709	453
61	716	438
62	721	423
63	729	410
64	737	397
65	747	384
66	755	372
67	769	362
68	775	348
69	781	334
70	787	321
71	791	307
72	796	294
73	801	281
74	807	269
75	811	256
76	816	243
77	821	231
78	828	220
79	834	208
80	839	196
81	844	185
82	851	174
83	858	163
84	863	152
85	869	141
86	874	130
87	879	119
88	883	109
89	888	98
90	893	88
91	900	78
92	906	68
93	913	58
94	920	48
95	930	38
96	938	29
97	943	19
98	948	9
99	953	0
