iter	Logloss
0	0.6132145879
1	0.5708297968
2	0.5392788783
3	0.5158165868
4	0.4896150245
5	0.467924306
6	0.4584523971
7	0.4447432541
8	0.4276457949
9	0.4109254145
10	0.3966915849
11	0.3836527593
12	0.3760786616
13	0.3676914788
14	0.3532569508
15	0.3421438005
16	0.3336937449
17	0.3253104625
18	0.3205250848
19	0.3130901351
20	0.306299104
21	0.3012095647
22	0.2957352186
23	0.2909548628
24	0.2871632419
25	0.2835617214
26	0.2779073177
27	0.2748389582
28	0.2681905818
29	0.2610358165
30	0.2570994773
31	0.2544039394
32	0.2484464061
33	0.2455048733
34	0.2407293451
35	0.2380929659
36	0.2353749755
37	0.2318927654
38	0.2300301819
39	0.2273064241
40	0.2237612119
41	0.221924236
42	0.2186291778
43	0.2153818383
44	0.2133203912
45	0.2120012964
46	0.2096164265
47	0.207262175
48	0.2046683178
49	0.2033993315
50	0.2005690626
51	0.1994181045
52	0.197554167
53	0.1958867163
54	0.1933267592
55	0.1913944555
56	0.1901556194
57	0.1889903404
58	0.1871228447
59	0.1861180321
60	0.1842655744
61	0.1833895541
62	0.1821213278
63	0.1809844266
64	0.180032605
65	0.1783526273
66	0.1773519956
67	0.1764978797
68	0.1752485821
69	0.17446603
70	0.1725609707
71	0.1718262772
72	0.1703625594
73	0.1693779091
74	0.1682206785
75	0.167582783
76	0.1664432559
77	0.1648239489
78	0.1641222306
79	0.1632584154
80	0.1622308194
81	0.1614774564
82	0.160779682
83	0.1602143106
84	0.1590455951
85	0.1585424232
86	0.1577080244
87	0.1569571225
88	0.1560360867
89	0.1550554004
90	0.1539420087
91	0.1533228199
92	0.1525554567
93	0.1519345274
94	0.1507264942
95	0.1500948119
96	0.1495671068
97	0.1490040599
98	0.1483481867
99	0.1478432064
