iter	Passed	Remaining
0	2	216
1	4	236
2	5	192
3	9	219
4	11	218
5	13	218
6	16	213
7	18	207
8	20	203
9	22	198
10	23	193
11	25	188
12	28	187
13	29	182
14	31	178
15	33	175
16	35	171
17	36	167
18	38	163
19	40	160
20	42	158
21	44	156
22	46	156
23	54	172
24	57	171
25	59	169
26	62	168
27	65	167
28	68	166
29	70	164
30	74	165
31	76	162
32	78	159
33	80	156
34	82	152
35	83	149
36	86	146
37	88	143
38	90	140
39	92	138
40	95	137
41	97	134
42	99	131
43	101	128
44	102	125
45	104	122
46	106	120
47	108	118
48	110	115
49	113	113
50	116	111
51	118	109
52	120	106
53	121	103
54	123	101
55	125	98
56	127	96
57	129	93
58	131	91
59	133	89
60	136	87
61	138	84
62	140	82
63	142	79
64	143	77
65	145	74
66	147	72
67	149	70
68	151	68
69	154	66
70	156	64
71	158	61
72	161	59
73	163	57
74	164	54
75	166	52
76	168	50
77	170	48
78	172	45
79	175	43
80	177	41
81	180	39
82	181	37
83	183	34
84	185	32
85	187	30
86	189	28
87	191	26
88	192	23
89	195	21
90	198	19
91	200	17
92	202	15
93	204	13
94	205	10
95	207	8
96	209	6
97	211	4
98	213	2
99	215	0
